time_s,alt_left_m,alt_right_m,alt_lightware_m
1779965952.7722032,1.2147157192230225,1.1766085624694824,1.3
1779965952.8041935,1.2032681703567505,1.1533293724060059,1.25
1779965952.8362832,1.1627793312072754,1.1388856172561646,1.24
1779965952.8682053,1.128436803817749,1.1201393604278564,1.2
1779965952.9003427,1.1179113388061523,1.097705364227295,1.2
1779965952.9322083,1.0885627269744873,1.077499270439148,1.18
1779965952.9641538,1.072966456413269,1.064361572265625,1.13
1779965952.9962068,1.0536823272705078,1.0366263389587402,1.09
1779965953.0281932,1.0647456645965576,1.048995852470398,1.16
1779965953.0602324,1.0264849662780762,1.0465372800827026,1.12
1779965953.0923765,1.031632423400879,1.0103508234024048,1.09
1779965953.1242042,1.0188788175582886,0.9930644035339355,0.99
1779965953.1561062,1.0144996643066406,0.9806948900222778,1.06
1779965953.1880872,0.9908363819122314,0.9682486653327942,1.03
1779965953.220162,0.9779290556907654,0.9692474007606506,1.08
1779965953.252091,0.9773913025856018,0.9654828310012817,
1779965953.2841046,0.9692474007606506,0.9789278507232666,1.03
1779965953.3160791,0.9813095331192017,0.95488041639328,
1779965953.3480697,0.9949082136154175,0.9844595193862915,1.06
1779965953.3800406,1.0020533800125122,0.994216799736023,1.07
1779965953.4120553,0.9959838390350342,1.0142691135406494,1.1
1779965953.4442923,1.0148837566375732,1.0363959074020386,1.14
1779965953.476017,1.0388543605804443,1.0499176979064941,1.1
1779965953.5080106,1.0544506311416626,1.0593676567077637,1.19
1779965953.5402386,1.0785748958587646,1.1007016897201538,1.15
1779965953.5720043,1.1099979877471924,1.1247490644454956,1.2
1779965953.6040092,1.1327393054962158,1.136888027191162,1.18
1779965953.636872,1.1643928289413452,1.1630866527557373,
1779965953.66823,1.2070327997207642,1.199734091758728,
1779965953.6999588,1.2478289604187012,1.2332314252853394,
1779965953.7322805,1.364762544631958,1.2578935623168945,
1779965953.7639558,1.3781306743621826,1.3065261840820312,
1779965953.7959213,1.4641790390014648,1.3412528038024902,
1779965953.8279603,1.4692497253417969,1.3695259094238281,
1779965953.8599248,1.4378267526626587,1.366145372390747,
1779965953.8918934,1.577040672302246,1.3918062448501587,
1779965953.9239707,1.6470317840576172,1.409784197807312,
1779965953.9558992,1.682373046875,1.4328328371047974,
1779965953.9879134,1.6839096546173096,1.450580358505249,
1779965954.019977,1.6188355684280396,1.4858448505401611,
1779965954.0520117,1.6837559938430786,1.6389647722244263,
1779965954.083863,1.7005046606063843,1.599244236946106,
1779965954.116003,1.7088022232055664,1.5036691427230835,
1779965954.1480956,1.6802986860275269,1.5955564975738525,
1779965954.1798189,1.7208644151687622,1.653024435043335,
1779965954.211813,1.6858303546905518,1.626211166381836,
1779965954.2437994,1.663626790046692,1.5957869291305542,
1779965954.275853,1.621140480041504,1.5731223821640015,
1779965954.3078005,1.5767333507537842,1.5593700408935547,
1779965954.3404047,1.5387030839920044,1.5264873504638672,
1779965954.3718069,1.4916069507598877,1.5061275959014893,
1779965954.404257,1.4326024055480957,1.4765485525131226,1.54
1779965954.4359918,1.3724453449249268,1.4398243427276611,1.51
1779965954.467762,1.3086005449295044,1.3956477642059326,1.49
1779965954.4997628,1.2469069957733154,1.3540832996368408,1.37
1779965954.532055,1.186058521270752,1.2759482860565186,1.38
1779965954.5637286,1.1404222249984741,1.2217071056365967,1.31
1779965954.5957344,1.0882554054260254,1.1676195859909058,
1779965954.6282663,1.0199544429779053,1.1072320938110352,
1779965954.659682,0.9552645683288574,1.0600591897964478,
1779965954.6916797,0.9064013957977295,1.0048191547393799,
1779965954.7236857,0.8343359231948853,0.9574925899505615,1.03
1779965954.7556436,0.7817849516868591,0.9130855202674866,
1779965954.7876306,0.7465973496437073,0.8562321066856384,0.87
1779965954.8203707,0.6746086478233337,0.8191238045692444,0.8
1779965954.8516705,0.6676172614097595,0.7830142378807068,
1779965954.8836188,0.6115321516990662,0.7528972625732422,
1779965954.9156482,0.5876383781433105,0.717018187046051,
1779965954.9476185,0.5022814869880676,0.7091816663742065,0.73
1779965954.97976,0.561055600643158,0.5883298516273499,
1779965955.0116765,0.5231021046638489,0.6909732222557068,0.69
1779965955.0435877,0.3101324737071991,0.672764778137207,0.68
1779965955.0755715,0.351620078086853,0.6646977066993713,0.63
