time_s,lat_deg,lon_deg,alt_m
1779965962.8568227,41.14611107411904,-8.703041890654935,55.758415719494224
1779965962.8966398,41.14611106925825,-8.703041890611777,55.758925155736506
1779965962.9368904,41.146111138852184,-8.703041903281765,55.76027652435005
1779965962.9771743,41.14611121497717,-8.703041911573127,55.761653516441584
1779965963.0171764,41.14611120500707,-8.703041893076296,55.7629552828148
1779965963.0571637,41.146111357687744,-8.703041920898265,55.76495020929724
1779965963.09708,41.146111390282826,-8.703041893168036,55.7666278667748
1779965963.137057,41.14611148530381,-8.703041880432565,55.7678646100685
1779965963.1769402,41.146111609244954,-8.7030418673722,55.768953991122544
1779965963.2168577,41.146111621248316,-8.703041807899696,55.769739428535104
1779965963.2567806,41.146111819522446,-8.703041828377495,55.769048353657126
1779965963.2966793,41.146111847146564,-8.703041778438752,55.7669281270355
1779965963.3366537,41.14611197958228,-8.703041783979916,55.7635582620278
1779965963.3769712,41.1461121286471,-8.703041786955593,55.75967244245112
1779965963.417184,41.14611216279024,-8.703041734029922,55.75341701135039
1779965963.4572241,41.14611241991374,-8.703041809915671,55.74537444766611
1779965963.4971285,41.146112468111575,-8.703041800639788,55.73715112358332
1779965963.537146,41.146112648899276,-8.703041876934412,55.72562575805932
1779965963.5770407,41.14611285168899,-8.703041980741355,55.71230944246054
1779965963.6169338,41.14611290684193,-8.703042030553998,55.697856723330915
1779965963.6568837,41.1461132433906,-8.703042257125658,55.67881288845092
1779965963.6967142,41.146113326411005,-8.703042372640986,55.66012369655073
1779965963.7367032,41.14611356659704,-8.703042523081857,55.64091653749347
1779965963.7768197,41.14611383656003,-8.703042665899273,55.620020627975464
1779965963.8170476,41.14611392756729,-8.703042764354901,55.59976817294955
1779965963.8572867,41.14611433905335,-8.70304295209079,55.57831287011504
1779965963.8971844,41.14611445657155,-8.703043098903425,55.559067549183965
1779965963.937236,41.14611474487768,-8.703043294312348,55.53936689905822
1779965963.9771183,41.146115057036965,-8.703043515326,55.52192706242204
1779965964.0170348,41.14611513087784,-8.703043690316655,55.5079572154209
1779965964.0569274,41.146115593453764,-8.703043974282426,55.49211032036692
1779965964.096766,41.14611577263244,-8.703044181945542,55.48346092924476
1779965964.136781,41.14611608764916,-8.703044428435817,55.476298411376774
1779965964.1770062,41.14611642921111,-8.70304468540537,55.47246716823429
1779965964.217119,41.14611655438924,-8.703044884519452,55.475573104806244
1779965964.2571986,41.146117028947664,-8.70304510857343,55.48016321938485
1779965964.2970958,41.146117176072345,-8.703045312443907,55.49152948986739
1779965964.337073,41.14611752197538,-8.703045514598198,55.50696422718465
1779965964.3769543,41.1461178526596,-8.703045705604723,55.52694206312299
1779965964.4171197,41.14611799583183,-8.70304587642673,55.55278921406716
1779965964.4569829,41.14611846288234,-8.70304603243744,55.58201155997813
1779965964.4967842,41.14611858793954,-8.703046173273702,55.61655716970563
1779965964.536894,41.14611889602343,-8.703046300213554,55.65475049521774
1779965964.576712,41.14611922574683,-8.703046410686245,55.696199028752744
1779965964.6170614,41.146119361160295,-8.703046514383175,55.739877603016794
1779965964.657212,41.14611980168809,-8.703046617146427,55.783776422962546
1779965964.6971793,41.14611990977731,-8.703046734692759,55.83136087283492
1779965964.737241,41.14612020347418,-8.7030468194312,55.87895318865776
1779965964.7771478,41.1461204851335,-8.703046869771164,55.92850273568183
1779965964.8171108,41.14612060324578,-8.703046913296317,55.97925359662622
1779965964.8570554,41.146121003239145,-8.703046933632887,56.028150035999715
1779965964.8969188,41.14612110503247,-8.703046955697076,56.078915243037045
1779965964.9368913,41.146121391174276,-8.703046965439004,56.126655767671764
1779965964.976771,41.146121669390205,-8.703046938644567,56.17378079611808
1779965965.0167286,41.14612178017814,-8.703046877547246,56.2201338885352
1779965965.056957,41.1461221692883,-8.703046796167696,56.259999359957874
1779965965.097128,41.14612231212739,-8.703046706436217,56.299057570286095
1779965965.1372244,41.14612260172998,-8.703046609100959,56.33256916143
1779965965.1771927,41.14612288895329,-8.703046512170157,56.36094588693231
1779965965.217197,41.14612305406054,-8.703046407524967,56.38592347223312
1779965965.257137,41.14612346231999,-8.70304629214832,56.40204292628914
1779965965.2970312,41.146123635226594,-8.70304619261471,56.41599133424461
1779965965.3369467,41.14612394382127,-8.703046093316294,56.42172285914421
1779965965.3768642,41.14612424926347,-8.703045991598154,56.422347848303616
1779965965.4167511,41.14612444303537,-8.703045907629935,56.42012149468064
1779965965.4567177,41.14612482289914,-8.703045830263878,56.40906526707113
1779965965.496749,41.14612501212741,-8.703045773106373,56.39717779960483
1779965965.5371146,41.1461252931271,-8.70304572478367,56.37855037022382
1779965965.577182,41.1461255825912,-8.703045694622613,56.35653688106686
1779965965.617249,41.146125748489666,-8.703045682193176,56.33515462465584
1779965965.6572874,41.14612609709379,-8.703045684438578,56.307453584857285
1779965965.6971192,41.146126281440324,-8.703045691192491,56.282141166739166
1779965965.737182,41.14612652996094,-8.703045713637433,56.25510002300143
1779965965.77708,41.146126761770454,-8.70304573838262,56.22846611123532
1779965965.8170173,41.146126902765204,-8.703045755906448,56.205482055433095
1779965965.8568234,41.146127171305935,-8.703045791896852,56.181012438610196
1779965965.89667,41.14612728259727,-8.703045806997409,56.16358336433768
1779965965.9368849,41.14612746351563,-8.70304583509469,56.1475438689813
1779965965.9771168,41.14612762212588,-8.703045860551793,56.13715913146734
1779965966.0172307,41.146127687142254,-8.703045859632505,56.13545950129628
1779965966.057211,41.14612787225391,-8.703045867721668,56.13580590952188
1779965966.0971992,41.146127919412436,-8.703045858801936,56.145849995315075
1779965966.1371233,41.146128009123714,-8.70304586946079,56.16000200621784
1779965966.1770475,41.146128101813275,-8.703045868997405,56.17844864539802
1779965966.2169838,41.14612812448155,-8.703045834948764,56.20255327876657
1779965966.2571988,41.146128247876426,-8.703045804438975,56.22864230629057
1779965966.2968822,41.14612825004381,-8.703045745049247,56.26105409953743
1779965966.3369284,41.14612831135836,-8.703045683494844,56.29492304753512
1779965966.3771648,41.1461283622492,-8.703045610619258,56.332167660817504
1779965966.417249,41.14612835442046,-8.703045498988507,56.37374753318727
1779965966.4572382,41.14612843992486,-8.703045355923683,56.417236001230776
