time_s,roll_deg,pitch_deg,yaw_deg
1779965519.7172132,-3.86207345706357,3.149820205397379,-57.143199912735284
1779965519.719214,-3.861359510841636,3.1504362745699015,-57.13608838316847
1779965519.7212055,-3.8606515502033463,3.1512260086060073,-57.12898296123557
1779965519.7231932,-3.8598528244066563,3.1521156835556234,-57.12187362423511
1779965519.7251878,-3.8589923093047913,3.1531635895980403,-57.11477062674293
1779965519.727198,-3.8580594034676845,3.154593701649362,-57.10767634255496
1779965519.7291965,-3.8571005489020784,3.1565085858526274,-57.10059085298247
1779965519.7312007,-3.8560759745569624,3.158686217383974,-57.09351079740404
1779965519.7331924,-3.8549787705823944,3.16126222646821,-57.08644199652602
1779965519.7351973,-3.853829177565034,3.1641608161604884,-57.07941552391098
1779965519.7371833,-3.8526373158488,3.1672857590219676,-57.072425541926705
1779965519.7391744,-3.851437983998785,3.1706075972006675,-57.065443618393275
1779965519.7411613,-3.850214420513792,3.174018830545756,-57.058491634877
1779965519.743156,-3.849007428331738,3.1775753985476243,-57.051552118805795
1779965519.7451427,-3.8478346360473488,3.181490954534021,-57.044667793024985
1779965519.7471323,-3.8466854780705475,3.185689801403115,-57.037805583827584
1779965519.7491193,-3.845564466138924,3.190057616098667,-57.030986359151264
1779965519.7511065,-3.8444812270723063,3.19473841431961,-57.02420515786571
1779965519.7531273,-3.8434602089665932,3.1995565833900472,-57.0174354759792
1779965519.7551143,-3.842533110559694,3.204391870237923,-57.01068464985368
1779965519.7571352,-3.8416978248322775,3.209378842240519,-57.003954720502364
1779965519.759155,-3.840942835465428,3.2144333251598187,-56.99726411959661
1779965519.7611737,-3.8402464961720053,3.2193078543196485,-56.99055207479558
1779965519.7631917,-3.8396662475047476,3.224183724603689,-56.98384595770828
1779965519.7652092,-3.8391849786722596,3.229082236297276,-56.97716410853992
1779965519.7672255,-3.838791902969397,3.2340443995373223,-56.970516816621235
1779965519.7692785,-3.8384714055955067,3.2392378481780866,-56.96392542291554
1779965519.771293,-3.838269127371151,3.2442336727139782,-56.95733371051863
1779965519.7733066,-3.8381283316666317,3.249105627340838,-56.95076654586964
1779965519.7753196,-3.8380605272598225,3.25388623410135,-56.9442287453618
1779965519.7773316,-3.838027647000737,3.258366319635488,-56.93770419765009
1779965519.7793434,-3.8381046837512844,3.2626780701425684,-56.93119370285696
1779965519.781355,-3.838216052959976,3.2668469763820265,-56.924716844171705
1779965519.7833655,-3.838380788898702,3.2708075056592425,-56.918271980377845
1779965519.7853756,-3.8384912542029346,3.2744202576675643,-56.911880305136485
1779965519.7873888,-3.838693120661516,3.2781520518473615,-56.90556242435691
1779965519.789398,-3.8388759599521527,3.282026666198432,-56.89930633228968
1779965519.7914066,-3.8390393475171,3.2857008289618337,-56.89307414535066
1779965519.7934146,-3.83926650593217,3.289076882409323,-56.88685474802212
1779965519.7954226,-3.8394762840487147,3.2922556948489476,-56.88066967908997
1779965519.797485,-3.8396636246600626,3.295415334924542,-56.87453280957203
1779965519.7995064,-3.8398351621606777,3.298600392879735,-56.86844389568161
1779965519.8015153,-3.8400161642153874,3.301700360920858,-56.86236805317919
1779965519.8035223,-3.840249468236401,3.3045944972667107,-56.85629229136833
1779965519.805526,-3.8403953087485547,3.3075238285022266,-56.85025785911071
1779965519.807531,-3.8405757770595237,3.310772246868448,-56.84424931780859
1779965519.8095372,-3.8408057152362747,3.314188708209829,-56.838306440926196
1779965519.8115673,-3.785633661221027,1.8644528580353539,-56.747517982874996
1779965519.813613,-3.7859786142028184,1.8679341084799808,-56.741652820687854
1779965519.8156648,-3.786425215174029,1.8715006334759257,-56.73577892113244
1779965519.817664,-3.786885423786988,1.8752053208671333,-56.729895189872025
1779965519.819673,-3.7874455254926187,1.879033017923542,-56.724042014957824
1779965519.8216722,-3.7880479118185035,1.882953052413072,-56.71823773048685
1779965519.8236754,-3.788682243849642,1.8872849478641391,-56.712476408232355
1779965519.825676,-3.7893293830766326,1.8916989178351213,-56.706743375007456
1779965519.8279614,-3.790096230574289,1.8963424531424946,-56.70104964323049
1779965519.830172,-3.790947469032877,1.9016490654426652,-56.695434422985045
