time_s,photo_err,valid_frac,latency_ms
39.551,12.5688,0.3364,123.84
39.843,13.1429,0.3284,104.33
40.165,12.9807,0.3257,104.82
40.500,12.6540,0.3511,117.95
40.683,12.5519,0.3635,148.99
40.829,11.9322,0.3746,114.04
41.030,11.7710,0.3696,165.41
41.229,12.8552,0.3602,128.42
41.435,13.6800,0.3421,167.47
41.587,14.4536,0.3199,111.04
41.771,15.5543,0.3267,152.40
41.912,15.0091,0.3191,106.22
42.097,14.6712,0.3074,150.84
42.238,14.9074,0.2947,104.43
42.526,14.9346,0.2806,105.76
42.770,13.9340,0.2919,103.93
43.101,13.7238,0.3344,112.09
43.437,13.4402,0.3383,112.41
43.628,14.6361,0.3382,157.20
43.859,14.4600,0.3612,111.01
44.192,13.8673,0.3766,111.13
44.487,13.4405,0.3769,106.53
44.728,13.2482,0.3562,100.81
45.062,13.1743,0.3367,113.46
45.277,12.8200,0.3486,173.94
45.422,12.5832,0.3455,113.31
45.620,13.0685,0.3434,164.56
45.767,13.0554,0.3453,105.77
45.956,13.2450,0.3325,149.92
46.116,13.2180,0.3291,119.29
46.317,13.6284,0.3285,156.79
46.481,13.7233,0.3296,109.37
46.673,13.5314,0.3380,157.24
46.818,13.5818,0.3423,111.70
47.008,13.9550,0.3423,152.79
47.168,14.4101,0.3386,121.47
47.367,13.9392,0.3405,160.98
47.555,13.7604,0.3462,106.46
47.880,14.0064,0.3560,112.47
48.078,14.0576,0.3589,164.66
48.224,12.9084,0.3617,114.12
48.436,12.6912,0.3643,176.20
48.583,12.7736,0.3593,113.09
48.776,12.8620,0.3611,157.14
48.934,12.9208,0.3601,118.67
49.138,12.7922,0.3557,168.51
49.302,13.6322,0.3609,122.94
49.500,12.9844,0.3498,160.39
49.652,12.1040,0.3457,114.81
49.861,12.2867,0.3457,169.39
50.033,12.7825,0.3380,123.76
50.232,12.5785,0.3479,162.75
50.395,12.4287,0.3586,126.87
50.618,12.3237,0.3780,179.11
50.749,12.1833,0.3857,98.75
50.943,11.9841,0.3857,161.68
51.104,12.4263,0.3783,124.62
51.338,12.7895,0.3732,161.09
51.516,13.3551,0.3204,114.55
51.701,13.2083,0.2797,141.48
51.845,14.3521,0.2768,108.48
52.038,13.7156,0.3208,151.92
52.181,14.6808,0.3330,103.21
52.482,14.0144,0.3213,100.40
52.793,13.4749,0.3258,102.67
53.098,13.0493,0.3476,114.07
53.362,12.9606,0.3650,148.60
53.588,13.3455,0.3500,104.58
53.905,12.7823,0.3517,106.14
54.173,13.7658,0.3159,115.13
54.483,13.3051,0.3058,106.55
54.759,13.0229,0.3339,124.66
54.982,12.3356,0.3793,103.49
55.300,12.8354,0.3625,102.05
55.610,13.9497,0.3392,98.86
55.910,13.7743,0.3298,108.02
56.134,14.3802,0.3305,121.74
56.419,13.9308,0.3441,105.01
56.727,13.5200,0.3481,98.83
57.018,13.9541,0.3548,111.19
57.345,13.9739,0.3528,99.66
57.690,13.5184,0.3308,110.01
57.983,13.9863,0.3352,103.53
58.270,14.1571,0.3359,138.15
58.566,14.6612,0.3462,99.06
58.876,14.4296,0.3359,121.94
59.190,14.7526,0.3290,109.48
59.476,14.7828,0.3296,108.83
59.721,14.7372,0.3374,108.06
59.950,14.8967,0.3286,155.87
60.108,14.8541,0.3492,115.00
60.312,14.3820,0.3516,169.14
60.470,14.1132,0.3545,121.60
60.674,13.8014,0.3534,163.50
60.841,13.5661,0.3737,129.75
61.042,13.8362,0.3672,168.56
61.191,13.5330,0.3734,112.11
61.393,13.3378,0.3707,156.74
61.551,13.3454,0.3660,122.52
61.768,13.1177,0.3650,178.45
61.921,12.8811,0.3511,119.00
62.111,13.2428,0.3418,155.64
62.265,15.0727,0.2975,111.31
62.451,13.9251,0.3168,150.74
62.595,14.9674,0.2728,108.95
62.776,15.8166,0.2810,145.34
62.926,13.3427,0.3206,113.97
63.116,13.2799,0.3268,156.21
63.255,13.5421,0.3370,101.24
63.511,12.8816,0.3553,107.50
63.749,12.1201,0.3779,94.07
64.083,13.6156,0.3743,102.44
64.397,13.8081,0.3650,107.48
64.697,13.1636,0.3414,105.15
64.948,13.7583,0.3233,94.53
65.268,13.2892,0.3308,101.68
65.577,12.6133,0.3728,104.14
65.857,12.8638,0.3724,103.93
66.077,13.1075,0.3505,108.46
66.407,13.6800,0.3268,111.54
66.721,13.8104,0.3311,110.71
67.091,13.6852,0.3311,123.19
67.294,13.4811,0.3340,166.25
67.438,13.2858,0.3332,102.00
67.701,13.1491,0.3317,107.11
67.937,13.8608,0.3304,101.09
68.183,14.1750,0.3193,168.25
68.315,15.0965,0.3114,101.58
68.590,16.1362,0.2412,105.74
68.830,13.8911,0.3271,99.78
69.164,14.0037,0.3235,103.80
69.356,14.1550,0.3305,150.40
69.498,13.9635,0.3556,104.15
69.795,13.4732,0.3847,107.04
70.108,13.3505,0.3605,102.56
70.423,13.5473,0.3444,112.09
70.711,13.5977,0.3102,106.01
70.946,13.5631,0.3049,102.82
71.342,13.1577,0.3554,116.59
71.672,13.5824,0.3537,110.23
71.980,14.5300,0.3327,105.83
72.293,13.6203,0.3173,104.81
72.592,14.0776,0.3099,108.51
72.887,13.5779,0.3583,112.52
73.126,13.2762,0.3673,104.62
73.463,13.2543,0.3559,106.92
73.661,13.4910,0.3572,159.45
73.811,13.4690,0.3457,112.72
74.103,13.1660,0.3423,103.98
74.380,13.5796,0.3452,109.75
74.581,13.8870,0.3425,147.75
74.725,13.8367,0.3372,109.02
74.927,13.8724,0.3295,161.94
75.152,13.8007,0.3270,100.80
75.485,13.2322,0.3448,96.79
75.805,12.7446,0.3620,113.34
76.097,12.7300,0.3598,108.91
76.329,12.2369,0.3378,104.09
76.695,13.0123,0.3337,125.24
76.897,13.1963,0.3240,169.77
77.089,13.3384,0.3273,134.33
77.284,13.7263,0.3280,155.20
77.438,13.8088,0.3284,116.64
77.634,13.7145,0.3229,149.88
77.789,14.0372,0.3109,118.87
78.001,13.4838,0.3155,167.97
78.171,13.5738,0.3239,134.15
78.370,13.7878,0.3176,166.80
78.514,13.5908,0.3349,110.52
78.715,14.2053,0.3309,160.50
78.864,15.7666,0.2660,113.82
79.074,14.0037,0.3400,158.92
79.210,13.7771,0.3409,98.88
79.420,13.4211,0.3406,162.34
79.555,13.4538,0.3474,102.81
79.748,13.6372,0.3499,158.36
79.910,13.7690,0.3612,107.99
80.118,13.8305,0.3427,169.74
80.306,13.6693,0.3403,128.11
80.499,13.6154,0.3338,155.32
80.654,13.6779,0.3297,117.12
80.842,13.4834,0.3342,150.64
81.017,13.5721,0.3341,139.79
81.207,13.3006,0.3360,146.23
81.354,13.4336,0.3367,106.50
81.537,12.9104,0.3538,148.24
81.680,12.1526,0.3651,109.57
81.898,12.3253,0.3733,180.54
82.043,12.3848,0.3722,115.12
82.236,12.8654,0.3684,161.46
82.381,12.8455,0.3553,105.82
82.576,12.7400,0.3360,163.89
82.730,13.2612,0.3249,103.90
82.935,14.1250,0.2819,168.37
83.089,13.2280,0.3023,116.01
83.278,13.1464,0.3099,152.39
83.435,12.3713,0.3403,121.17
83.625,12.6020,0.3400,157.26
83.777,12.9751,0.3273,116.20
83.964,15.2180,0.3161,152.28
84.107,14.8758,0.3145,105.65
84.297,13.7783,0.3420,152.32
84.441,13.0477,0.3410,107.71
84.705,13.0825,0.3549,109.26
84.877,12.6042,0.3761,101.36
85.210,12.2942,0.3768,105.11
85.510,12.9433,0.3382,111.86
85.795,13.6681,0.2984,99.32
86.047,14.3542,0.2908,110.00
86.361,14.3096,0.3123,105.33
86.554,14.3664,0.3205,151.01
86.718,14.1747,0.3386,100.94
86.908,13.8971,0.3338,155.34
87.042,13.3582,0.3485,102.29
87.251,13.6550,0.3488,170.87
87.411,13.3221,0.3540,125.39
