time_s,photo_err,valid_frac,latency_ms
39.508,11.4229,0.2442,40.99
39.843,12.5617,0.2274,42.93
40.136,11.8914,0.2290,46.62
40.432,12.0167,0.2466,42.99
40.657,11.6097,0.2534,52.77
40.768,11.0687,0.2655,53.33
40.935,10.9143,0.2644,61.80
41.191,11.9309,0.2618,50.89
41.385,12.8266,0.2553,51.00
41.489,13.6023,0.2477,40.79
41.624,14.9678,0.2346,39.93
41.856,14.3723,0.2281,39.63
41.954,13.4407,0.2156,43.59
42.210,13.7501,0.2056,41.58
42.476,13.8247,0.1927,42.20
42.767,13.2108,0.2013,43.65
43.070,13.1064,0.2353,47.75
43.400,12.4537,0.2558,43.00
43.605,13.1225,0.2578,49.72
43.849,12.7732,0.2595,40.06
44.160,12.7172,0.2684,53.34
44.463,12.3602,0.2660,38.84
44.729,12.5935,0.2501,42.88
45.020,13.2603,0.2373,47.91
45.226,12.9059,0.2370,51.47
45.339,12.5789,0.2380,44.97
45.538,12.8457,0.2362,43.60
45.643,12.7106,0.2312,47.27
45.830,12.8124,0.2298,78.16
45.949,12.7931,0.2285,48.57
46.128,13.3085,0.2293,63.68
46.238,12.9618,0.2328,47.39
46.384,12.8158,0.2373,42.48
46.663,13.3016,0.2411,43.41
46.823,13.2366,0.2425,44.19
47.010,13.2735,0.2398,60.06
47.254,13.2078,0.2410,57.45
47.541,13.4125,0.2424,44.93
47.834,14.4469,0.2441,46.10
48.035,13.6463,0.2533,45.38
48.144,12.4939,0.2612,45.28
48.337,11.9270,0.2658,79.14
48.446,12.5105,0.2679,42.75
48.579,11.9171,0.2706,43.76
48.778,12.2902,0.2693,42.40
48.874,12.5618,0.2637,42.64
49.022,12.6033,0.2561,41.23
49.220,12.7735,0.2505,50.43
49.330,11.6161,0.2426,45.96
49.541,11.3289,0.2381,61.99
49.654,11.4501,0.2354,49.05
49.845,11.6509,0.2381,68.15
49.962,11.7327,0.2477,51.57
50.079,11.4431,0.2542,51.56
50.262,11.7791,0.2703,53.03
50.363,11.6148,0.2699,43.44
50.504,13.0572,0.2649,43.75
50.698,13.4143,0.2528,44.96
50.938,13.7413,0.2082,46.02
51.244,13.2949,0.1871,44.65
51.542,13.6765,0.2033,40.50
51.852,12.9974,0.2296,48.08
52.152,14.8013,0.2379,46.88
52.438,13.7329,0.2311,43.69
52.744,12.8945,0.2296,39.11
53.037,12.5560,0.2472,43.60
53.301,12.6555,0.2733,41.95
53.556,13.4065,0.2915,42.11
53.852,12.9345,0.2532,42.99
54.158,13.8530,0.2123,38.35
54.448,13.0982,0.2084,37.71
54.681,13.2621,0.2278,44.89
54.958,11.9003,0.2692,38.59
55.252,12.2015,0.2666,43.58
55.565,14.2280,0.2456,44.06
55.879,13.3302,0.2328,48.41
56.112,13.6721,0.2352,41.79
56.370,13.1679,0.2390,39.16
56.657,13.4121,0.2382,43.28
56.954,13.8984,0.2433,39.86
57.339,13.1572,0.2507,44.20
57.634,12.7234,0.2446,37.90
57.932,13.9940,0.2403,41.00
58.236,13.6153,0.2438,43.27
58.535,14.0030,0.2431,43.04
58.849,13.5308,0.2350,41.77
59.131,14.4639,0.2246,48.25
59.429,14.0559,0.2235,41.17
59.718,13.8658,0.2357,45.57
59.877,13.9366,0.2406,45.52
60.065,14.5694,0.2526,43.66
60.180,13.7944,0.2562,40.26
60.368,13.0323,0.2620,50.56
60.493,12.9721,0.2622,39.90
60.693,12.2499,0.2685,68.56
60.787,12.5197,0.2674,45.12
60.974,12.3649,0.2686,46.88
61.085,12.5705,0.2650,51.16
61.251,12.8348,0.2553,51.96
61.440,12.8672,0.2510,72.41
61.539,12.6174,0.2426,47.22
61.658,12.5855,0.2373,42.05
61.851,13.0408,0.2266,54.95
61.959,13.6300,0.2206,44.61
62.249,13.5171,0.2108,46.11
62.554,14.3170,0.2156,39.87
62.860,13.6927,0.2245,43.97
63.066,12.1246,0.2315,47.45
63.176,12.4509,0.2379,41.90
63.456,12.3014,0.2537,44.48
63.759,11.6435,0.2715,45.76
64.048,13.1059,0.2772,45.50
64.350,12.9580,0.2753,48.60
64.638,12.2470,0.2441,43.15
64.941,13.3332,0.2220,43.43
65.245,12.6899,0.2287,42.49
65.537,12.0611,0.2580,44.19
65.801,12.2307,0.2628,44.22
66.076,12.6920,0.2506,53.78
66.354,13.2825,0.2370,41.40
66.691,13.9567,0.2344,38.17
67.046,13.5127,0.2333,43.83
67.266,13.0596,0.2336,51.52
67.369,12.6446,0.2336,43.75
67.640,13.2250,0.2338,44.77
67.938,13.6092,0.2356,47.91
68.154,14.1707,0.2356,44.62
68.259,14.4214,0.2335,46.73
68.563,14.3640,0.2332,56.24
68.825,13.8132,0.2264,38.99
69.119,12.5631,0.2308,46.05
69.344,12.1884,0.2359,45.38
69.470,12.9575,0.2545,40.49
69.746,13.1318,0.2848,42.97
70.055,12.5012,0.2787,44.38
70.342,13.3086,0.2352,40.18
70.652,13.1418,0.2085,38.33
70.946,13.6996,0.2098,43.57
71.336,12.7728,0.2580,41.95
71.636,13.1848,0.2649,48.38
71.932,14.3070,0.2390,41.51
72.249,12.7655,0.2197,45.02
72.548,13.1461,0.2241,42.19
72.834,12.9324,0.2490,38.58
73.133,12.8956,0.2585,39.44
