time_s,photo_err,valid_frac,latency_ms
39.661,15.5540,0.3456,38.69
39.958,15.4576,0.3472,36.12
40.248,15.7770,0.3638,36.73
40.496,15.2736,0.3814,37.88
40.590,14.6374,0.3767,38.08
40.732,13.5593,0.4052,42.38
41.010,14.0266,0.3436,37.87
41.206,14.4335,0.3475,38.50
41.323,14.1295,0.4096,37.76
41.518,15.6713,0.3450,41.62
41.629,15.6020,0.3704,37.08
41.763,16.3700,0.3179,37.40
42.026,16.6865,0.3279,40.76
42.294,16.8698,0.3035,37.18
42.588,15.5636,0.3099,36.49
42.893,13.7546,0.3128,37.96
43.234,14.1748,0.3661,36.83
43.470,16.2554,0.3346,37.08
43.674,15.7582,0.3914,37.19
43.987,16.5316,0.3985,37.75
44.263,15.7902,0.4062,36.43
44.554,15.0145,0.3581,36.05
44.849,13.6525,0.3618,36.08
45.049,13.5329,0.3407,37.55
45.159,14.4493,0.3234,36.09
45.364,14.3742,0.3709,38.06
45.468,14.7371,0.3493,38.30
45.629,15.0269,0.3512,40.82
45.758,15.3979,0.3464,38.68
45.936,15.5704,0.3605,43.94
46.076,15.8556,0.3514,38.91
46.197,15.7353,0.3714,37.41
46.481,15.4545,0.3983,40.48
46.629,15.5718,0.3845,37.71
46.841,15.7850,0.3731,37.41
47.078,15.5482,0.3708,39.43
47.358,15.0222,0.3695,37.77
47.659,15.5036,0.3835,37.89
47.871,15.7943,0.3883,37.17
47.968,14.7954,0.3925,36.90
48.143,15.0286,0.3875,41.02
48.245,14.1087,0.4196,37.03
48.403,14.3479,0.4321,37.20
48.608,14.3081,0.4193,38.89
48.710,14.0043,0.4181,37.99
48.889,14.3139,0.3989,41.09
48.998,14.2420,0.3792,37.01
49.149,14.6662,0.3824,38.89
49.333,14.8208,0.3580,39.98
49.461,14.8370,0.3594,37.65
49.619,14.6180,0.3722,39.57
49.733,15.1750,0.3798,37.01
49.879,14.7584,0.3894,37.01
50.079,14.9353,0.3779,38.71
50.185,14.4368,0.3684,37.20
50.363,13.9367,0.4343,40.82
50.491,13.3741,0.4015,37.32
50.764,13.6511,0.2935,37.39
51.062,14.5384,0.2668,36.77
51.355,15.3074,0.3287,36.37
51.677,15.8292,0.3616,38.42
51.976,16.8830,0.3787,37.23
52.275,15.6018,0.3652,37.30
52.561,15.9052,0.3542,36.99
52.874,14.8486,0.3787,38.61
53.122,14.5104,0.4284,38.56
53.385,14.8123,0.4447,37.26
53.682,13.9894,0.4101,37.86
53.986,15.0986,0.3253,37.42
54.284,16.3887,0.3151,38.07
54.536,15.3819,0.3533,36.97
54.796,13.8179,0.4101,38.58
55.086,13.7265,0.3881,36.88
55.376,15.4337,0.3276,37.12
55.684,15.7980,0.3346,38.22
55.946,16.0553,0.3611,38.97
56.196,16.1961,0.3618,37.80
56.490,15.2399,0.3559,36.17
56.772,15.3001,0.3772,36.45
57.161,14.7530,0.3257,37.02
57.456,14.1136,0.3150,36.85
57.761,15.1065,0.3797,37.26
58.058,15.9252,0.3861,38.17
58.365,16.6246,0.3567,38.11
58.663,16.2973,0.3606,37.81
58.958,16.1201,0.3633,36.32
59.257,15.6050,0.3518,38.82
59.550,15.0400,0.3775,37.12
59.743,14.8567,0.3860,43.66
59.854,15.6699,0.3700,37.41
60.003,16.0730,0.4097,37.34
60.198,16.0616,0.4007,40.18
60.314,15.8721,0.3990,38.41
60.522,15.6413,0.4029,42.16
60.638,15.9514,0.4070,37.04
60.758,16.7354,0.3725,41.95
60.897,15.6507,0.4055,37.04
61.044,15.1440,0.3898,38.93
61.231,15.4759,0.3523,40.92
61.348,13.8024,0.3623,36.90
61.506,13.9568,0.3678,42.86
61.647,13.8564,0.3220,36.98
61.775,14.0337,0.3104,37.06
62.076,14.0814,0.3454,37.23
62.384,15.7407,0.3189,37.45
62.700,15.8366,0.3386,37.54
62.899,14.9323,0.3568,41.22
63.012,15.8489,0.3567,37.70
63.275,15.8898,0.3657,36.04
63.583,15.1507,0.3923,38.28
63.879,15.0439,0.4403,37.24
64.216,14.8291,0.4295,37.54
64.484,14.2510,0.3515,37.24
