time_s,photo_err,valid_frac,latency_ms
39.777,12.5632,0.3750,118.60
40.088,13.6671,0.3528,106.05
40.422,12.9829,0.3583,117.77
40.716,12.9766,0.3888,111.37
40.867,12.7889,0.4012,148.70
41.018,12.4906,0.4138,116.80
41.132,12.3253,0.3927,112.47
41.448,12.3595,0.3614,109.76
41.659,12.6519,0.3248,188.28
41.773,13.2083,0.3166,109.54
41.935,15.2865,0.2658,159.76
42.071,15.2986,0.2764,113.43
42.239,15.0424,0.3423,157.64
42.411,15.4722,0.3219,94.30
42.740,14.5230,0.3146,104.42
43.042,14.3652,0.3213,97.07
43.339,12.7211,0.3046,111.19
43.709,13.0964,0.3494,132.58
43.871,14.3855,0.4122,152.82
44.090,14.1869,0.4097,101.26
44.407,13.7705,0.4080,109.87
44.707,13.8845,0.4181,96.89
45.027,13.4764,0.3930,102.44
45.334,12.8219,0.3638,122.26
45.496,12.5143,0.3123,159.27
45.624,12.9547,0.3520,119.69
45.746,13.2824,0.3731,120.25
45.917,13.4296,0.3643,158.34
46.056,13.4713,0.3596,116.69
46.208,13.6055,0.3603,150.31
46.360,14.1528,0.3548,111.96
46.519,14.0539,0.3563,156.68
46.657,13.8291,0.3717,104.53
46.887,13.5469,0.3884,104.53
47.146,14.0510,0.3718,184.74
47.263,14.5925,0.3650,114.77
47.542,14.6066,0.3795,104.67
47.768,13.8175,0.3810,104.72
48.089,14.1265,0.3799,106.67
48.300,14.3702,0.3873,177.43
48.422,13.7268,0.3763,119.22
48.582,13.5336,0.4044,158.17
48.746,12.7263,0.3950,124.83
48.908,12.1736,0.4125,160.20
49.055,12.4157,0.4205,142.80
49.267,12.6254,0.4067,201.49
49.406,13.4818,0.3903,135.60
49.583,13.3258,0.3740,174.93
49.739,12.7936,0.3830,153.56
49.908,12.6130,0.3714,166.43
50.037,12.5030,0.3766,126.96
50.216,12.7041,0.3752,176.51
50.360,12.6785,0.3881,141.72
50.532,12.4379,0.4042,169.34
50.652,12.9387,0.3954,118.03
50.764,12.3792,0.3968,110.12
50.934,13.1609,0.4257,166.88
51.055,13.8984,0.2712,119.88
51.193,11.9294,0.2998,109.39
51.513,11.8793,0.2869,104.61
51.840,14.0610,0.3210,138.51
52.160,14.1595,0.3607,123.23
52.456,14.7606,0.3670,121.17
52.690,13.9496,0.3699,108.24
53.013,14.1132,0.3704,108.48
53.336,13.0439,0.3750,116.26
53.583,13.0486,0.3939,143.68
53.809,13.4094,0.3980,104.69
54.137,12.7920,0.3866,110.56
54.460,13.5211,0.3429,120.50
54.765,14.0727,0.3413,110.11
54.924,13.7279,0.3493,112.38
55.214,12.8232,0.4139,109.28
55.537,12.3390,0.3352,110.85
55.836,14.0104,0.3405,103.56
56.098,14.2346,0.3630,107.92
56.380,14.1611,0.3613,119.67
56.603,13.7210,0.3782,104.74
56.940,13.4554,0.3892,111.18
57.236,14.3180,0.3936,104.99
57.577,13.9706,0.3081,109.32
57.909,12.8553,0.3356,110.42
58.233,14.2320,0.3666,106.82
58.516,14.4096,0.3943,102.87
58.786,14.8789,0.3878,125.79
59.138,14.3883,0.3753,132.10
59.454,14.7315,0.3639,119.25
59.721,14.2025,0.3382,104.44
59.961,13.3214,0.3111,112.55
60.204,13.1025,0.3303,169.57
60.336,15.0194,0.3757,129.57
60.505,14.8275,0.3693,165.94
60.628,14.6765,0.3829,120.56
60.778,13.9587,0.4083,148.38
60.946,13.5027,0.4155,159.60
61.091,13.4174,0.4068,142.22
61.251,13.6921,0.4079,158.06
61.379,13.2100,0.4080,124.99
61.503,12.9878,0.3968,122.31
61.661,13.4988,0.3912,155.52
61.804,13.2973,0.2921,116.00
61.920,13.6647,0.2941,114.20
62.103,12.2958,0.3203,162.79
62.241,12.6261,0.3061,111.68
62.550,12.8489,0.2831,124.27
62.839,14.7011,0.3302,106.66
63.108,13.9618,0.3424,103.51
63.339,12.9062,0.3571,170.09
63.451,13.3074,0.3776,110.05
63.745,12.9485,0.3985,99.82
63.994,13.0264,0.4129,98.87
64.321,13.9745,0.4386,110.91
64.618,13.6101,0.3882,100.82
64.899,12.9458,0.3706,112.76
65.199,13.7982,0.3649,97.30
65.501,13.7714,0.3570,121.62
65.833,12.7011,0.4040,118.04
66.082,12.9337,0.4188,129.89
66.293,12.8379,0.3638,104.70
66.619,13.7045,0.3400,110.02
66.940,14.3484,0.3719,109.26
67.294,13.8762,0.3699,114.43
67.537,14.3617,0.3532,177.98
67.664,13.8992,0.3585,124.62
67.929,13.6394,0.3657,104.80
68.202,13.6964,0.3408,112.40
68.424,13.0897,0.3052,171.15
68.533,14.1145,0.3001,107.29
68.833,13.8343,0.2765,102.80
69.121,14.4723,0.3292,97.71
69.364,13.7541,0.3547,107.58
69.547,13.5031,0.3643,138.87
69.699,13.7533,0.3902,106.28
70.028,14.1207,0.4399,111.95
70.347,14.5853,0.2379,107.91
70.632,12.7487,0.3370,108.63
70.998,14.3863,0.3346,154.18
71.224,13.9633,0.3372,116.53
71.576,13.4627,0.3922,97.52
71.911,13.8290,0.3724,110.41
72.236,14.4814,0.3496,117.75
72.530,13.8967,0.3557,114.64
72.783,14.2280,0.3496,107.48
73.121,13.7630,0.3932,121.90
73.437,13.8546,0.4120,115.62
73.724,13.2956,0.3797,110.47
73.852,13.2937,0.3545,125.43
74.053,13.9199,0.3921,135.41
74.310,13.4276,0.3958,114.48
74.655,13.9903,0.3816,119.67
74.825,14.3536,0.3694,160.30
74.963,14.5573,0.3745,114.84
75.169,14.2615,0.3644,156.80
75.391,14.2535,0.3665,110.23
75.732,13.2992,0.3789,125.45
76.015,13.1177,0.3829,102.01
76.269,12.6802,0.3724,98.23
76.595,12.5576,0.3858,106.31
76.920,13.6438,0.3504,120.04
77.086,13.6171,0.3781,164.14
77.232,13.9967,0.3542,126.16
77.405,13.7498,0.3562,171.13
77.533,14.3335,0.3570,125.03
77.652,13.7563,0.3596,116.63
77.807,13.8842,0.3540,153.03
77.950,13.9607,0.3539,115.97
78.102,14.1387,0.3538,150.75
78.265,14.6140,0.3732,120.82
78.425,13.6389,0.3668,158.04
78.565,13.5815,0.3684,127.86
78.734,14.1981,0.2854,167.08
78.859,13.9744,0.3675,118.84
79.021,14.2432,0.3652,160.66
79.162,13.8514,0.3637,138.53
79.325,14.3461,0.3708,161.15
79.444,14.4599,0.3760,115.90
79.657,14.2459,0.3798,101.67
79.998,13.1311,0.3756,111.68
80.176,14.3022,0.3901,166.95
80.344,15.9870,0.1675,138.39
80.526,13.4894,0.3134,178.35
80.646,13.5364,0.3617,117.89
80.817,14.1416,0.3534,167.92
80.953,13.3370,0.3702,134.10
81.116,13.7026,0.3708,160.41
81.238,13.4053,0.3814,119.54
81.359,13.0946,0.3931,119.12
81.519,13.1661,0.4048,152.24
81.693,12.6678,0.4014,134.54
81.856,13.1872,0.3940,160.74
81.977,12.9814,0.3615,118.80
82.093,12.7372,0.3409,114.12
82.259,13.5945,0.3362,159.75
82.434,14.1434,0.3283,137.50
82.601,13.5436,0.3399,165.12
82.730,13.5238,0.3371,116.88
82.846,13.5651,0.3368,113.42
83.018,12.9523,0.3842,161.50
83.160,13.1423,0.3557,106.79
83.455,13.0154,0.3542,104.21
83.701,14.7992,0.3508,106.00
84.024,14.4644,0.3478,98.97
84.335,14.9511,0.3582,101.78
84.661,13.8136,0.3815,113.38
84.941,12.9300,0.3935,109.45
85.106,12.9142,0.4046,106.63
85.439,12.5167,0.3779,113.02
85.730,15.3578,0.2128,111.18
85.986,14.1084,0.3177,106.39
