time_s,photo_err,valid_frac,latency_ms
39.514,12.2148,0.1993,8.35
39.862,15.3537,0.1803,8.35
40.157,21.0116,0.1838,8.62
40.454,20.3384,0.1993,9.89
40.634,18.5098,0.2061,8.67
40.747,15.2868,0.2183,8.06
40.898,12.5534,0.2168,10.20
41.205,12.3962,0.2143,9.06
41.408,13.5272,0.2090,10.09
41.531,14.8020,0.2019,9.08
41.703,15.3842,0.1847,8.90
41.802,14.9737,0.1846,9.91
41.956,14.4031,0.1725,8.09
42.205,16.0207,0.1635,8.12
42.493,17.3806,0.1517,8.92
42.839,15.3632,0.1601,8.53
43.095,14.3158,0.1892,9.26
43.424,13.8287,0.2086,8.91
43.620,15.2452,0.2087,7.82
43.871,18.5402,0.2102,8.42
44.167,23.9660,0.2128,8.66
44.460,21.2588,0.2146,8.97
44.757,13.7628,0.2040,8.15
45.049,13.9321,0.1894,8.40
45.195,13.8073,0.1916,8.39
45.408,13.8037,0.1924,8.25
45.497,13.9853,0.1917,8.71
45.638,14.6345,0.1862,9.00
45.827,15.3191,0.1841,10.20
45.948,15.5463,0.1828,8.47
46.130,15.4851,0.1824,9.89
46.239,15.4067,0.1853,8.36
46.379,15.7375,0.1897,8.28
46.677,14.6938,0.1953,8.14
46.880,14.2001,0.1953,8.20
46.976,14.3663,0.1952,8.17
47.269,14.7020,0.1950,8.65
47.563,15.7149,0.1969,8.82
47.854,15.6153,0.1986,8.70
48.045,15.6841,0.2072,8.81
48.171,14.4296,0.2133,10.62
48.344,13.7937,0.2167,7.97
48.457,13.7189,0.2201,8.84
48.588,13.3367,0.2229,8.00
48.784,13.1589,0.2219,9.08
48.892,12.8703,0.2168,8.35
49.095,14.6599,0.2092,11.11
49.193,14.6388,0.2048,9.76
49.385,13.3411,0.1970,10.08
49.492,13.6144,0.1899,10.10
49.637,16.7388,0.1909,8.25
49.834,19.8165,0.1913,10.03
49.945,22.4564,0.2015,8.72
50.132,20.9653,0.2059,9.23
50.234,17.9514,0.2217,9.28
50.380,14.3836,0.2221,10.43
50.562,13.4139,0.2178,8.76
50.672,14.4159,0.2067,10.18
50.964,16.2010,0.1668,9.76
51.262,15.3936,0.1469,8.72
51.555,14.8201,0.1617,8.02
51.875,14.6179,0.1826,9.17
52.171,18.1624,0.1897,9.66
52.472,17.2056,0.1823,9.84
52.778,18.2260,0.1847,8.97
53.067,14.8027,0.2017,9.93
53.300,13.2115,0.2239,9.04
53.587,14.2562,0.2369,8.72
53.877,13.4539,0.2052,9.01
54.183,14.5265,0.1674,9.93
54.475,17.2494,0.1666,8.29
54.701,16.1481,0.1835,9.77
54.988,12.5875,0.2208,9.38
55.288,12.6219,0.2188,8.71
55.582,14.4145,0.1985,9.52
55.878,15.4350,0.1870,9.03
56.151,19.2257,0.1879,8.14
56.395,21.0074,0.1923,8.03
56.685,16.4805,0.1934,9.22
56.980,14.3799,0.1983,10.12
57.366,14.0715,0.2029,9.97
57.657,14.2587,0.1991,7.84
57.952,14.0663,0.1944,8.49
58.250,15.3863,0.1963,9.23
58.560,18.9587,0.1960,14.33
58.859,17.0053,0.1834,10.13
59.155,15.5260,0.1793,9.59
59.449,15.2066,0.1789,9.12
59.743,15.0314,0.1917,9.11
59.954,14.7090,0.1953,9.02
60.064,14.3139,0.2067,8.47
60.253,14.3043,0.2074,10.55
60.339,17.8491,0.2140,7.81
60.487,20.3746,0.2142,9.01
60.678,25.2183,0.2207,9.12
60.789,25.8921,0.2173,8.24
60.938,25.3966,0.2137,9.15
61.116,22.8889,0.2147,8.36
61.239,17.2670,0.2077,8.04
61.419,14.3136,0.2034,8.90
61.535,12.7930,0.1974,8.33
61.669,13.6264,0.1931,7.96
61.861,14.2066,0.1835,9.79
61.982,14.7386,0.1774,9.88
62.267,14.2744,0.1689,8.73
62.587,14.9364,0.1731,7.89
62.889,16.5070,0.1813,8.35
63.094,18.3703,0.1862,8.79
63.191,19.0386,0.1921,7.40
63.482,20.2366,0.2048,10.03
63.776,18.4786,0.2191,8.83
64.071,14.0347,0.2270,8.11
64.372,13.4397,0.2271,8.21
64.673,12.6664,0.1971,8.54
64.975,17.0109,0.1762,10.41
65.272,16.9738,0.1844,10.40
65.573,13.7026,0.2078,9.02
65.798,13.1287,0.2147,8.83
66.085,13.5607,0.2034,8.74
66.375,14.2103,0.1906,8.82
66.675,14.8443,0.1883,8.62
67.072,20.1889,0.1870,8.74
67.275,20.9385,0.1893,8.14
67.373,20.5764,0.1875,9.41
67.677,14.8035,0.1890,9.88
67.967,14.4016,0.1914,9.35
68.154,14.4683,0.1904,8.52
68.267,15.3250,0.1896,8.53
68.557,15.1655,0.1882,8.46
68.861,14.0711,0.1823,7.86
69.153,23.0065,0.1864,9.33
69.293,24.6562,0.1873,9.61
69.516,25.3695,0.2047,9.28
69.777,17.6400,0.2324,8.80
70.071,12.9208,0.2303,8.01
70.371,13.5121,0.1897,8.44
70.669,15.1953,0.1647,8.36
70.969,16.0818,0.1658,8.57
71.353,16.9974,0.2081,8.05
71.653,13.8568,0.2173,9.72
71.951,14.4965,0.1944,9.44
72.263,14.4591,0.1763,7.83
72.568,16.4919,0.1763,7.58
72.857,14.7927,0.2032,8.06
73.149,14.5185,0.2103,8.56
73.448,14.9194,0.2065,9.34
73.654,14.7299,0.2025,10.34
73.775,15.6144,0.1994,7.73
74.081,13.4535,0.1930,7.77
74.395,15.8037,0.2056,9.04
74.580,16.1307,0.1912,9.58
74.697,16.7049,0.1909,8.11
74.919,16.3557,0.1813,8.69
75.168,18.8835,0.1794,8.08
75.466,16.0053,0.1956,7.72
75.763,13.4546,0.2099,7.94
76.053,13.6154,0.2131,7.91
76.348,13.0937,0.2025,8.21
76.650,13.2109,0.1894,8.86
76.835,14.3824,0.1895,7.77
76.942,15.5955,0.1854,8.42
77.079,15.2524,0.1868,7.75
77.278,16.2800,0.1835,7.53
77.383,15.6914,0.1808,7.82
77.531,15.0559,0.1770,8.80
77.715,14.5465,0.1764,8.84
77.835,14.4652,0.1764,9.72
78.023,14.2202,0.1781,7.90
78.129,14.8673,0.1852,10.56
78.273,14.8123,0.1866,9.39
78.469,14.6505,0.1918,9.57
78.575,14.7085,0.1899,8.84
78.717,14.5541,0.1909,8.52
78.930,14.5395,0.1946,10.48
79.022,18.1760,0.2000,8.37
79.167,19.2635,0.2051,11.94
79.449,17.8974,0.2076,9.68
79.750,13.8580,0.2050,10.62
79.947,13.7254,0.2099,12.03
80.058,14.1083,0.2018,8.39
80.254,14.3987,0.1968,9.30
80.343,14.3816,0.1893,7.96
80.486,14.1274,0.1867,8.24
80.680,14.3061,0.1864,10.64
80.790,17.1629,0.1863,8.55
80.979,17.3312,0.1997,9.94
81.103,18.6650,0.2087,9.49
81.294,14.4684,0.2232,9.34
81.391,13.0194,0.2224,8.43
81.538,13.7966,0.2202,9.30
81.759,13.7171,0.2094,10.82
81.846,13.9312,0.1918,9.37
81.976,14.0513,0.1807,8.73
82.175,13.9058,0.1676,9.98
82.288,14.7595,0.1617,7.97
82.478,14.1436,0.1641,9.19
82.600,14.4211,0.1714,10.23
82.783,13.6766,0.1880,8.94
82.897,13.2193,0.1949,8.99
83.185,13.0580,0.1875,9.39
83.480,15.1151,0.1776,8.82
83.782,16.1667,0.1827,9.17
84.083,15.6546,0.1872,8.47
84.381,15.6423,0.1897,9.44
84.670,17.7727,0.2016,9.12
84.901,16.3575,0.2177,10.79
85.180,12.5139,0.2299,9.94
85.470,13.0571,0.2032,9.11
85.763,14.0597,0.1747,9.15
86.053,15.4101,0.1634,8.72
86.345,20.6284,0.1709,10.27
86.532,19.8204,0.1739,9.11
86.643,17.2546,0.1813,9.63
86.795,16.7814,0.1847,9.09
86.980,14.3790,0.1927,9.24
87.088,15.0191,0.1924,8.38
87.227,14.1997,0.1956,7.97
87.430,14.1493,0.1988,8.81
87.528,14.4540,0.1996,9.16
87.711,13.6863,0.2002,9.29
87.967,13.4349,0.1960,8.93
88.260,14.0622,0.1837,8.51
88.551,15.1633,0.1649,10.02
88.842,19.7905,0.1621,9.02
88.992,21.5914,0.1647,8.33
89.197,23.4413,0.1741,11.26
89.384,21.3925,0.1840,13.62
89.525,16.5473,0.1940,15.59
89.621,16.9151,0.1999,8.88
89.742,14.1909,0.2167,8.90
