time_s,photo_err,valid_frac,latency_ms
39.547,12.5467,0.1735,9.23
39.891,13.0995,0.1591,9.37
40.190,12.3553,0.1665,9.00
40.484,12.3971,0.1785,8.34
40.632,12.2973,0.1713,8.18
40.778,12.3267,0.1797,9.30
40.920,11.6681,0.1738,8.94
41.237,12.3030,0.2085,8.56
41.419,13.1569,0.2078,9.25
41.541,14.0307,0.2066,9.31
41.727,14.8264,0.1835,8.81
41.839,14.3384,0.1762,9.79
41.988,13.8984,0.1566,9.07
42.233,13.8482,0.1441,10.32
42.527,13.4897,0.1409,8.29
42.823,14.1282,0.1402,8.66
43.124,13.9044,0.1705,9.66
43.457,13.4026,0.1998,8.97
43.659,13.4536,0.1837,8.77
43.905,13.8176,0.1880,9.03
44.202,13.2337,0.1703,8.70
44.491,13.5147,0.1796,8.59
44.786,13.1515,0.1847,8.42
45.078,13.3084,0.1767,8.93
45.287,13.0191,0.1824,14.80
45.385,13.2292,0.1619,8.37
45.578,13.3468,0.1616,10.19
45.668,13.2830,0.1699,8.59
45.845,13.2084,0.1531,8.38
46.026,13.4553,0.1602,10.01
46.119,12.8239,0.1672,9.19
46.260,13.4699,0.1633,8.26
46.416,13.7919,0.1588,9.95
46.706,13.2329,0.1688,8.69
46.851,13.4397,0.1791,8.43
47.015,14.4569,0.1556,8.49
47.299,13.7043,0.1731,8.94
47.592,13.8422,0.1793,8.89
47.891,14.0723,0.1738,9.19
48.074,14.1554,0.1740,8.62
48.192,13.4595,0.1800,8.06
48.389,13.0180,0.1822,11.31
48.483,12.3744,0.1712,9.13
48.618,12.8922,0.1812,8.72
48.830,12.7386,0.2024,10.32
48.938,12.7542,0.1971,9.47
49.072,13.1465,0.1882,10.10
49.220,13.1955,0.1684,9.45
49.373,11.7678,0.1707,9.05
49.508,12.0566,0.1778,8.58
49.661,12.9309,0.1513,10.57
49.813,12.1662,0.1602,9.29
49.961,12.9248,0.1544,9.18
50.108,12.9473,0.1646,8.76
50.259,12.7571,0.1884,8.83
50.403,12.3454,0.2054,8.64
50.544,12.7826,0.1879,8.12
50.749,12.7187,0.1870,9.36
50.990,13.5161,0.1802,9.45
51.292,13.5288,0.1578,8.61
51.585,14.2027,0.1457,10.17
51.908,13.8105,0.1658,9.89
52.206,15.0253,0.1749,10.43
52.496,14.0130,0.1431,8.10
52.806,13.4785,0.1576,9.25
53.099,13.4430,0.1666,9.63
53.338,13.2528,0.2012,9.00
53.617,13.7569,0.2229,8.72
53.912,13.0926,0.1778,9.13
54.215,13.3966,0.1403,9.13
54.504,13.0960,0.1314,9.23
54.723,13.1080,0.1506,8.39
55.017,12.3185,0.1890,8.71
55.322,12.6218,0.2072,9.61
55.618,13.9554,0.1746,8.80
55.911,13.6837,0.1644,9.80
56.131,13.5046,0.1542,8.54
56.428,13.7892,0.1648,8.50
56.717,13.6937,0.1649,10.29
57.011,13.7989,0.1662,10.43
57.396,13.7606,0.2065,9.43
57.686,13.8463,0.1867,8.44
57.990,13.4506,0.1713,8.99
58.292,14.3101,0.1871,10.64
58.584,14.4580,0.1849,8.33
58.889,13.8586,0.1598,8.76
59.187,14.4007,0.1563,8.61
59.479,14.3346,0.1674,8.48
59.774,14.4191,0.1953,9.16
59.928,14.0496,0.1969,9.02
60.114,14.9397,0.1820,10.30
60.231,13.9531,0.1820,8.56
60.378,13.9848,0.1886,8.72
60.524,13.6564,0.1764,8.74
60.664,13.1250,0.1924,9.12
60.823,13.5169,0.1966,8.79
60.971,13.3559,0.1866,8.99
61.119,13.5683,0.1843,8.55
61.264,13.2877,0.1867,8.23
61.410,13.1652,0.1854,8.31
61.558,12.2695,0.1863,8.72
61.703,12.8181,0.1811,8.45
61.848,13.1017,0.1771,8.32
62.063,13.9594,0.1810,9.34
62.299,14.1367,0.1613,8.11
62.614,14.3615,0.1464,8.68
62.934,13.7577,0.1506,9.04
63.074,13.0201,0.1560,8.51
63.226,13.5106,0.1586,9.02
63.514,13.2497,0.1693,8.43
63.805,12.3222,0.1849,8.44
64.102,13.4340,0.1972,8.50
64.402,13.4481,0.2090,9.00
64.698,13.0521,0.1718,8.18
65.003,13.5224,0.1390,9.51
65.303,12.7385,0.1541,9.45
65.603,12.4833,0.1802,8.68
65.872,12.4187,0.2063,8.71
66.123,13.3020,0.1856,9.29
66.419,13.8371,0.1742,9.25
66.710,14.2856,0.1667,10.76
67.101,13.6171,0.1636,8.45
67.261,13.6472,0.1626,12.32
67.399,13.3918,0.1599,8.66
