backend,n_frames,photo_err_median,photo_err_p90,valid_fraction_median,latency_ms_median,latency_ms_p90,pc_n_bad_dropped,pc_n_frames,pc_bad_frame_rate,pc_hs_median,pc_hmax_median
sbm,406,nan,nan,0.0,9.446014404296875,10.872435569763184,nan,nan,nan,nan,nan
sgbm,406,12.49476432800293,13.744369506835938,0.23789415508508682,43.85857009887695,53.005218505859375,11.0,5.0,2.2,0.9059,1.3039
hitnet,407,14.274105072021484,16.09180488586426,0.35813140869140625,37.26738739013672,39.983604431152344,6.0,30.0,0.2,0.7878499999999999,1.2417500000000001
raftstereo,404,12.895013332366943,14.353577041625977,0.33661535382270813,115.02387619018555,162.21866455078126,2.0,30.0,0.06666666666666667,0.49905,1.2279
waft,404,12.91670560836792,14.380903625488282,0.3603011667728424,114.24048233032227,160.64224090576172,0.0,30.0,0.0,0.286,0.9501999999999999
sgm_cuda,406,13.220780849456787,14.68322467803955,0.07084902003407478,10.06085729598999,11.156556129455566,nan,nan,nan,nan,nan
sbm_tuned,406,14.064229488372803,18.424473762512207,0.19173531234264374,8.69144344329834,10.088656902313232,11.0,3.0,3.6666666666666665,0.9704,1.4266
sgbm_tuned,405,12.495634078979492,13.744988059997558,0.23787520825862885,40.282371520996094,45.90156936645508,10.0,10.0,1.0,0.8979,1.3039
sgm_cuda_tuned,405,12.915363311767578,14.088294410705567,0.17046402394771576,8.649471282958984,9.7923433303833,nan,nan,nan,nan,nan
